title,price_text,price,url
Notebook Asus Vivobook Go 15 E1504 R5 7520u 8gb Ssd 512gb,$825.895$694.19915% OFF6 cuotas de$174.139,825.0,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=OL9NWzEEO6ylOeWS%2Fm4uYL46HZ8Z0x1AiWuf7SOzImSSn%2Fste5HvQQaE1EyzobsN9FX6Jbh4VX59K2XGudF5ADhbMGSuv1oRiwARfg%2BpFEehRMg6iof0OQoWcgx%2FRZAwxqTDzt6tEDsKPUXOvW2InrQV%2Fbp%2FojhoRquMP6TWVHYkHiHvPcq7Aa6Zn48P3tJZjT6ANTDWi56Sos%2Fh7PJ%2FkRVl96b4325STmzSmrawR1Fc%2BxllgEucmf0BbJDCqxwIoQX77SPhQvX7tlF8E4V7YJl%2BNXCi%2BW5BajXDcHvDZx5zq1LXDYOlT%2BUQTCq6WGR8BCxiT%2FmqB4yX8toQeT4EWPx3AhPBW2%2BsTTgzj0kQeER3DNwClHU%2BDpyWp4A5ClyhaYSjNnyL2cK0yyTFXBWA5HXZ6mYMJvE4rCudSr%2BxgD6kdQ4n9MHsIcEU1h8PXYGXWM%2BbIflRVKlK4I5FY%2FCi%2FxtYq9Y%2BrBlpxrdrLFWu1y4mLoYjN4R%2FnV9%2Byy3XII52M6X%2Fnc21MfWKAxGZmkuRFNNR7fEyiutDPA5mm1GwH%2B8QBj1nSc37fwkT%2FuvsoLMKwyUqtAvm8XwMeSGu%2FdyMsrdTJDrfYdhPlO8bz7Gqe0GCx0zLbnlxmJ4ujnbhS1I7%2BZP2KSo4CGPGoQglK3BMU2xWe2C7QMyRlqELRwOPkWmz6tA8Mn%2BAyaLw1adOuJIosIYUVWXuvbqk%2F6xfYW5IPcvLgkBoflijXX4rgSDkF47eWD0ApiINC%2F%2FJtzoT%2BmDKKwLr8tOCWOdAMTSfT4FJyxActP6xVS3qz3qp2k6pi8xoeUhWaBuMTddaz8V89%2BqwF30g8K7KxKX%2BSSHdvaWqePaMrZjY5wsU3yARRm0JyMhw7Knz1Zb8dhaB&searchVariation=184456848560#polycard_client=search-nordic&is_advertising=true&searchVariation=184456848560&search_layout=stack&position=1&type=pad&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b
Notebook Asus Vivobook 15 X1504 Core I5 1235u 24gb 512gb Ssd,$1.090.595$883.39918% OFF6 cuotas de$221.600,,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=SZsu%2BuWVvYFUG%2F9FjsBsntgO4hLP4IaLdS0APjF89zifZMwOZ%2Bdg2W1BR1QoRVkHj2HacCCyq4K3IJA2vfA1FoFKwLBGC7nThtFROBbq2UkEKEXyhz5O%2FDL42apRebV4OH7MrVvb3t29%2BedsEiGh%2B0jFlGcxD6aDFucEMmRWSSo4t9rB8XiLsmyOY0ILLXidmyk5qsIISFPgSHhgKnjyYfP5ZC3GCgwKvUr%2B3KooGe%2BeY0aONgQ7LznK%2FZxsK3tElmcFKEDXyza7yG0DahwXHKXs57AlK0X9ZzyX7a%2Bvo3mymUKu1pHqkyyyaQOOMxZcjukc7RF3MXADusA6H3F5bJpfMETww54LiaKK5IJIOBpb7OyDjiokZFYD%2Fjt7%2Fef%2FvZHyvAqGsHgF77dY%2FGNHLFfpPVBAXWK8FkH3YvLTC%2FK7ujBpGofEy713BSWIko%2BAkLRO2nR5K%2FR6YIDtP8JM3cDEsiuZ%2FddeT%2BgWy9KOvcAvgIArGdtxDfHCLTceAUaIZHnYcqKBf%2BHSOVus79VvShuClzePxEDkxyYGy9JuVIiRZnNeJh7ORjU9UOmBvDU12d5%2FoNS4FdCKD9vlXL9kRScrrUJKT8j9Q06LQ5gxT%2FKq646WUIw6l44NJUtvh7EC2aQ3519W7GuXHcrjZfUSpZJWBYErOixOPdyvUy8yX63rGKMjeJ0RC7SHNMKu8oYZuk5ntTixHhV41dHklW6YfJDzmHvEQdu%2B5oMhHGw3k92rX6IZvCRPldwIxpIHzTBTGiQK4ul6fVT%2BHODJNwJSgtjKRE1gQgdbaRkfTgHaUW1ziUm%2FI0MhAEIJv%2BtrH5NUV4%2F4LXlGZIYiWjoMyjHnf5LsvFDVrzQRVHyXDEDsaPizu0uoAUHzp%2B2N2w2U&searchVariation=182576871040#polycard_client=search-nordic&is_advertising=true&searchVariation=182576871040&search_layout=stack&position=2&type=pad&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b
Notebook Exo Smart T38 Intel N4020 4gb Ssd128gb Windows 11 Color Gris,$555.554$283.09949% OFF6 cuotas de$71.015,555.0,https://www.mercadolibre.com.ar/notebook-exo-smart-t38-intel-n4020-4gb-ssd128gb-windows-11-color-gris/p/MLA22826188#polycard_client=search-nordic&search_layout=stack&position=3&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA1424712885&sid=search
Notebook Noblex N14x1010 14.1 Hd Intel Celeron 4gb/128gb Ssd,$449.999$299.99933% OFF6 cuotas de$75.254,449.0,https://www.mercadolibre.com.ar/notebook-noblex-n14x1010-141-hd-intel-celeron-4gb128gb-ssd/p/MLA37505961#polycard_client=search-nordic&search_layout=stack&position=4&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA2142770210&sid=search
Notebook Lenovo Ideapad 1 15ijl7 Intel Celeron N4500 12 Gb Ddr4-sdram 128 Gb Emmc 39.6 Cm (15.6 ) 1366x768px Wi-fi 5 (802.11ac) Teclado Español Windows 11 Home Color Abyss Blue,$627.095$474.99924% OFF6 cuotas de$119.153,627.0,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-12-gb-ddr4-sdram-128-gb-emmc-396-cm-156-1366x768px-wi-fi-5-80211ac-teclado-espanol-windows-11-home-color-abyss-blue/p/MLA41391097#polycard_client=search-nordic&search_layout=stack&position=5&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA1926162280&sid=search
"Notebook Lenovo Ideapad 1 Ryzen 5 7520u 8gb Ram Ddr5 SSD 512gb Pantalla 15.6"" Pulgadas Full hd Windows 11 Color Gris",$1.149.999$919.99920% OFFMismo precio 12 cuotas de$76.666,,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-ryzen-5-7520u-8gb-ram-ddr5-ssd-512gb-pantalla-156-pulgadas-full-hd-windows-11-color-gris/p/MLA28347332#polycard_client=search-nordic&search_layout=stack&position=6&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA1496338151&sid=search
Notebook Lenovo V15 Ryzen 5 7520U 16Gb Ssd 512Gb 15.6 Wind 11 Pro,$1.640.225$1.089.89933% OFFMismo precio 12 cuotas de$90.824,,https://www.mercadolibre.com.ar/notebook-lenovo-v15-ryzen-5-7520u-16gb-ssd-512gb-156-wind-11-pro/p/MLA41325752#polycard_client=search-nordic&search_layout=stack&position=7&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA2016686766&sid=search
"Notebook Lenovo Ideapad 1 15IAU7 Pantalla Táctil Fhd De 15,6 Pulgadas Core I3-1215u 8 Gb De Ram Ssd De 256 Gb Gris Nube",$1.313.198$859.99934% OFFMismo precio 12 cuotas de$71.666,,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-15iau7-pantalla-tactil-fhd-de-156-pulgadas-core-i3-1215u-8-gb-de-ram-ssd-de-256-gb-gris-nube/p/MLA37834136#polycard_client=search-nordic&search_layout=stack&position=8&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA1975452030&sid=search
"Notebook Acer Aspire 3 Ryzen 5 7430u 16gb Ram 512gb Sdd Pantalla 15,6'' Pulgadas Windows 11",$1.269.999$1.099.99913% OFFMismo precio 12 cuotas de$91.666,,https://www.mercadolibre.com.ar/notebook-acer-aspire-3-ryzen-5-7430u-16gb-ram-512gb-sdd-pantalla-156-pulgadas-windows-11/p/MLA49219814#polycard_client=search-nordic&search_layout=stack&position=9&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA2078863738&sid=search
"Notebook Acer Aspire Ryzen 7 5700u 16gb 512gb 15,6' Fhd Gris Color Plateado",$1.462.999$1.339.9998% OFFMismo precio 12 cuotas de$111.666,,https://www.mercadolibre.com.ar/notebook-acer-aspire-ryzen-7-5700u-16gb-512gb-156-fhd-gris-color-plateado/p/MLA35478000#polycard_client=search-nordic&search_layout=stack&position=10&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA1516059583&sid=search
Notebook Lenovo V15 G4 Abp Ryzen 7 7730u 24gb De Ram Ddr4 1tb Ssd Pcie Nvme 1920 Px X 1080 Px Full Hd Amd Radeon Graphics Windows 11 Home Color Gris Hierro,$1.419.995$1.062.59925% OFF6 cuotas de$266.552,,https://www.mercadolibre.com.ar/notebook-lenovo-v15-g4-abp-ryzen-7-7730u-24gb-de-ram-ddr4-1tb-ssd-pcie-nvme-1920-px-x-1080-px-full-hd-amd-radeon-graphics-windows-11-home-color-gris-hierro/p/MLA44363507#polycard_client=search-nordic&search_layout=stack&position=11&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA1975428672&sid=search
Laptop Dell 3535 Ryzen 5 7520u 512gb 8gb Ram W11 mas Office Color Plateado,$1.299.999$829.99936% OFFMismo precio 12 cuotas de$69.166,,https://www.mercadolibre.com.ar/laptop-dell-3535-ryzen-5-7520u-512gb-8gb-ram-w11-mas-office-color-plateado/p/MLA37175361#polycard_client=search-nordic&search_layout=stack&position=12&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA1970571604&sid=search
Notebook Dell Inspiron 3535 Amd Ryzen 3 7320u 8 Gb Lpddr5-sdram 512 Gb Ssd 39.6 Cm (15.6 ) Full Hd Ips 120hz Amd Radeon Graphics 610m Wi-fi 5 (802.11ac) Ubuntu Linux Teclado Español Black,$816.495$494.99939% OFF6 cuotas de$124.170,816.0,https://www.mercadolibre.com.ar/notebook-dell-inspiron-3535-amd-ryzen-3-7320u-8-gb-lpddr5-sdram-512-gb-ssd-396-cm-156-full-hd-ips-120hz-amd-radeon-graphics-610m-wi-fi-5-80211ac-ubuntu-linux-teclado-espanol-black/p/MLA48939540#polycard_client=search-nordic&search_layout=stack&position=13&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA2066022526&sid=search
"Notebook Dell Inspiron 3535 15.6 ,ryzen 5 7520u, 8gb, 512gb Color Plateado",$1.299.999$829.99936% OFFMismo precio 12 cuotas de$69.166,,https://www.mercadolibre.com.ar/notebook-dell-inspiron-3535-156-ryzen-5-7520u-8gb-512gb-color-plateado/p/MLA30164862#polycard_client=search-nordic&search_layout=stack&position=14&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA1495481133&sid=search
Notebook Hp 15-fd0238la Intel Core i3 8gb Ram 512gb Ssd Windows 11 Home,$1.329.999$659.99950% OFF6 cuotas de$165.560,,https://www.mercadolibre.com.ar/notebook-hp-15-fd0238la-intel-core-i3-8gb-ram-512gb-ssd-windows-11-home/p/MLA53156405#polycard_client=search-nordic&search_layout=stack&position=15&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA2212874096&sid=search
"Notebook Asus Vivobook 15.6 Intel Core I3, 8gb De Ram, 128gb Ssd, Pantalla 15.6 Full Hd, Windows 11, Color Negro",$749.999Mismo precio 12 cuotas de$62.499,749.0,https://www.mercadolibre.com.ar/notebook-asus-vivobook-156-intel-core-i3-8gb-de-ram-128gb-ssd-pantalla-156-full-hd-windows-11-color-negro/p/MLA47407544#polycard_client=search-nordic&search_layout=stack&position=16&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA2086803468&sid=search
Notebook Dell Inspiron 3535 Amd Ryzen 3 7320u 8 Gb Lpddr5-sdram 512 Gb Ssd 39.6 Cm (15.6 ) Full Hd Ips 120hz Amd Radeon Graphics 610m Wi-fi 5 (802.11ac) Windows 11 Home Teclado Español Black,$1.270.795$849.99933% OFFMismo precio 12 cuotas de$70.833,,https://www.mercadolibre.com.ar/notebook-dell-inspiron-3535-amd-ryzen-3-7320u-8-gb-lpddr5-sdram-512-gb-ssd-396-cm-156-full-hd-ips-120hz-amd-radeon-graphics-610m-wi-fi-5-80211ac-windows-11-home-teclado-espanol-black/p/MLA48939378#polycard_client=search-nordic&search_layout=stack&position=17&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA2066190084&sid=search
"Notebook Hp Amd Ryzen 5 7520u, 8gb Ram DDR5, 512gb Ssd, Pantalla 15.6"" Full HD, Windows 11, Color Silver",$769.999$685.29911% OFF6 cuotas de$171.907,769.0,https://www.mercadolibre.com.ar/notebook-hp-amd-ryzen-5-7520u-8gb-ram-ddr5-512gb-ssd-pantalla-156-full-hd-windows-11-color-silver/p/MLA46910915#polycard_client=search-nordic&search_layout=stack&position=18&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA2158298584&sid=search
Notebook Enova 14 Celeron N4020 Ram 4gb Ssd 128gb Gris,$459.999$399.67913% OFFMismo precio 12 cuotas de$33.306,459.0,https://www.mercadolibre.com.ar/notebook-enova-14-celeron-n4020-ram-4gb-ssd-128gb-gris/p/MLA23827239#polycard_client=search-nordic&search_layout=stack&position=19&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA2277930100&sid=search
Notebook Lenovo Ideapad 1 15ijl7 Intel Celeron N4500 8 Gb Ddr4-sdram 128 Gb Emmc 39.6 Cm (15.6 ) 1366x768px Wi-fi 5 (802.11ac) Teclado Español Windows 11 Home Color Abyss Blue,$611.795$459.99924% OFF6 cuotas de$115.390,611.0,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8-gb-ddr4-sdram-128-gb-emmc-396-cm-156-1366x768px-wi-fi-5-80211ac-teclado-espanol-windows-11-home-color-abyss-blue/p/MLA41461422#polycard_client=search-nordic&search_layout=stack&position=20&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA1928645202&sid=search
"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD) - Gris espacial",$1.383.0006 cuotas de$346.925,,https://www.mercadolibre.com.ar/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-gris-espacial/p/MLA17828518#polycard_client=search-nordic&search_layout=stack&position=21&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA1517875081&sid=search
Notebook Hp 14-em0001la AMD Ryzen 3 8gb Ram 256gb Ssd Windows 11 Home,$1.149.999$859.99925% OFFMismo precio 12 cuotas de$71.666,,https://www.mercadolibre.com.ar/notebook-hp-14-em0001la-amd-ryzen-3-8gb-ram-256gb-ssd-windows-11-home/p/MLA24206432#polycard_client=search-nordic&search_layout=stack&position=22&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA2077462226&sid=search
Notebook Hp 15-fc0282la AMD Ryzen 7 16gb Ram 512gb Ssd Windows 11 Home,$1.849.999$849.99954% OFF6 cuotas de$213.222,,https://www.mercadolibre.com.ar/notebook-hp-15-fc0282la-amd-ryzen-7-16gb-ram-512gb-ssd-windows-11-home/p/MLA53501240#polycard_client=search-nordic&search_layout=stack&position=23&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA2237595274&sid=search
"Notebook Hp 255 G10 Amd Ryzen 7 7730u, Ram 16gb, SSD 512gb, Pantalla 15,6'' Fhd, Sistema Opertativo Windows 11 Home",$1.624.999$1.319.99918% OFFMismo precio 12 cuotas de$109.999,,https://www.mercadolibre.com.ar/notebook-hp-255-g10-amd-ryzen-7-7730u-ram-16gb-ssd-512gb-pantalla-156-fhd-sistema-opertativo-windows-11-home/p/MLA43286413#polycard_client=search-nordic&search_layout=stack&position=24&type=product&tracking_id=80a91a35-28c1-440c-81a5-172572c7bd8b&wid=MLA1959396790&sid=search
